股票名,股票代码,所属行业,题材关键词,公司信息,主营构成,总市值,市盈率估值,市净率估值," 市销率估值",市现率估值,综合估值状态,最新一期 ROE,价格,估算合理价格,当前价格是否合理,合理价格与当时价的价格差,预约财报披露日期,历史波动率,净利润增长率 (%),营收增长率 (%),最新负债率 (%),最新股息率 (%),净利润 3 年复合增长率 (%),营收 3 年复合增长率 (%),上市以来年化收益率 (%),预测净利润同比增长 (%),预测营收同比增长 (%),机构评级,每股收益预测
姚记科技,002605.SZ,互联网服务,扑克牌、品牌优势、技术、规模优势、国内扑克行业龙头、经销商分销模式拓宽渠道、稳定+高品质的原料保证、拟斥资1000万至5000万元回购公司股份,"公司简介:
    上海姚记科技股份有限公司创建于1994年,如今姚记公司已位列于中国印刷行业百强,上海市民营企业百强。公司坐落在上海嘉定工业园区内,公司占地15万平方米,员工将近900人,工厂如花园,景色优美,环境怡人。系大型现代化花园式扑克牌生产基地,上海市工业旅游景点之一,全国工商联直属会员。公司不空喊“以人为本”,不只考虑利润,不只是个商业体,更应是个温暖的大家庭。姚记公司建立了一整套上下沟通交流的机制,在考核中真正做到能上能下,每年拿出相当利润奖励员工,也不忘在节假日和员工生日时送上特别的礼物。“栽下梧桐树,引得凤凰来。”如今在姚记公司,大专以上学历员工已占到20%以上,近年来还吸引了一批具有硕士学位的“海归”人才。人才是企业的智力支持和发展动力,而设备则是企业作战的武器。中国的古训:欲善其事,必先利其器。公司拥有世界著名品牌印刷机德国罗兰、海德堡CD四开五色机和双色胶印机,拥有国内先进的高精度全自动平压平模切机和分条分片机,拥有国际一流的全自动包装线。并且公司努力开展科技创新工作,与设备供应商联合研发一大批专业扑克牌生产设备,这些设备的研制成功,填补了世界扑克制造业的空白,使姚记扑克的机械装备水平处于全球同行业的领先地位。一流的人才,一流的设备,打造出了一流的产品。公司积极落实“科学发展观”的指导思想,在扑克牌行业精心耕耘,经过多年的努力,“姚记扑克”不仅在国内市场独占熬头,产品还远销海外,已成为世界扑克牌行业的翘楚。公司主导产品“姚记”系列扑克,长期以来品质卓越,图案精美,在国内外市场享有良好声誉,先后荣获“上海名牌产品”、“中国轻工质量信得过产品”、“中国轻工业联合会科学技术进步奖”、“上海市区级技术中心”,在海外多个国家注册的“摩托车“(商标)扑克远销五大洲,受到客户的广泛好评。公司确立了“树百年姚记,创世界品牌”的战略目标,致力于成长为世界级专业扑克牌生产基地。
主营业务:
    经营移动游戏业务,各类扑克牌的设计、生产和销售。
所属概念:
    创投,网络游戏,股权激励,预盈预增,免疫治疗,深股通,共享经济,百度概念,富时罗素,字节概念","按行业:
    软件: 57.23%
    文教体育用品: 36.85%
    互联网营销: 3.78%
    其他(补充): 2.14%
按产品:
    游戏: 57.23%
    扑克牌: 36.85%
    数字营销: 3.78%
    其他(补充): 2.14%
按地区:
    国内: 93.81%
    国外: 6.19%",89.62 亿,估值较低,估值中等,估值较低,估值中等,估值较低,60.5,22.29,--,--,--,2021-04-29,0.4918079858236865,256.664610414574,41.5598856214,45.8332835744,1.792946677512,52.3791230862,34.5469368736,17.7404,227.5661478133,52.1443450168,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:2.817500 预测市盈率:7.933798
2021 | 预测每股收益:2.182500 预测市盈率:10.210482
2022 | 预测每股收益:2.970000 预测市盈率:7.507146"
天邦股份,002124.SZ,畜牧业,"食品加工行业、领先的研发能力和技术水平、国际先进的生产工艺与设备、安全且绿色环保的产品、获得新兽药注册证书、水产饲料龙头、建设生猪养殖基地、拟定增募资不超42亿元加码主业、拟1.5亿元转让广东天邦,可获利1.2亿元、获得新兽药注册证书、农发集团拟要约收购10%股份","公司简介:
    天邦食品股份有限公司(SZ:002124)创始于1996年,2007年挂牌上市,目前已拥有水产饲料、生物制品、生猪养殖(汉世伟)、生鲜食品(拾分味道)、工程建设(天邦开物)五个业务板块,是中国产业链齐全的农牧企业之一,立志成为世界一流的动物源食品企业。在水产饲料领域,天邦是行业内的绿色食品生产饲料认证商,率先提出并实现""水产养殖饲料系数低于1""。提供沉性、浮性和缓沉性全熟化饲料,在高端特种水产饲料的细分市场中处于领先地位。在生物制品领域,天邦开创了中国动物疫苗行业悬浮培养技术应用之先河。拥有中国的高致病性蓝耳病细胞悬浮培养耐热保护剂活疫苗(JXA1-R株),全球的禽流感(H9)细胞悬浮培养灭活疫苗等疫苗产品,助力中国动物疫苗行业产品升级和产业进步。在生猪养殖领域,汉世伟食品集团战略投资国际知名育种公司ChoiceGenetics,取得国际优秀的种猪基因。强化生产管理,严控生物安全,推进远程监控和智能化信息系统,安全、高效运营,母猪PSY、肥猪料肉比等指标屡创历史。大力推广公司+家庭农场模式,实现农户致富和公司发展的双赢局面。在生鲜食品方面,拾分味道食品集团依托齐全可控的产业链体系,鱼子酱、大闸蟹、水晶虾仁、大黄鱼等产品口感细腻,风味精致;美味猪肉""清水一煮就飘香"",具有无抗、美味、保健等特点。在工程建设方面,天邦开物集团整合资源,统筹各板块工程的计划、设计、施工和管理,推进工程建设模块化、标准化,培养和输送专业设备操作人员。以科技手段推进环保工作,开展有机肥销售,实现企业发展与自然环境相和谐。
主营业务:
    食品产业的开发(生猪育种及养殖和食品加工)、动物疫苗的研制与销售、饲料的研制与销售和工程环保服务
所属概念:
    生物疫苗,深成500,预盈预增,长江三角,融资融券,病毒防治,中证500,猪肉概念,深股通,MSCI中国,富时罗素,标准普尔,抖音小店","按行业:
    生猪养殖: 74.56%
    食品加工: 12.63%
    饲料产品: 11.80%
    其他: 1.02%
按产品:
    生猪养殖: 74.56%
    食品加工: 12.63%
    饲料产品: 11.80%
    其他: 1.02%
按地区:
    国内: 99.19%
    国外: 0.81%",197.19 亿,估值较低,估值较低,估值中等,估值较低,估值较低,60.29,15.01,--,--,--,2021-04-28,0.5141444556725733,3131.98061982708,79.196895861,43.2460280039,3.997335109927,131.3268343637,52.0673287562,22.6648,3.2562349633,57.7040664167,"3月内:买入
6月内:增持
1年内:增持","2021 | 预测每股收益:2.628571 预测市盈率:5.885057
2022 | 预测每股收益:2.767143 预测市盈率:5.424953
2023 | 预测每股收益:2.153333 预测市盈率:6.975981"
金发科技,600143.SH,化学新材料,化工新材料行业、科技创新优势、强大的科研开发队伍、完善的协同创新平台、供应链类金融平台 “易塑金融”、改性塑料龙头向化工新材料升级、拟6.99亿元收购宁波海越剩余51%股权、拟7亿元收购海越新材料剩余51%股权、拟发行不超30亿元公司债、拟斥资10亿至20亿元回购公司股份,"公司简介:
    金发科技股份有限公司是全球领先的新材料企业,依托高性能新材料的科研、生产、销售和服务,为创造更加安全、舒适、便捷的人类生活提供全新的材料解决方案,推动人类生活环境的持续改善,创造美好生活。
主营业务:
    改性塑料的研制、生产、销售。
所属概念:
    新材料,预盈预增,融资融券,参股保险,上证180_,特斯拉,医疗器械,中证500,沪股通,2025规划,5G概念,证金持股,氢能源,富时罗素,垃圾分类,降解塑料,口罩","按行业:
    化工新材料: 91.06%
    医疗耗材: 7.73%
    其他(补充): 1.21%
按产品:
    改性塑料产品: 58.21%
    贸易品: 14.17%
    绿色石化产品: 13.68%
    其他: 13.95%
按地区:
    国内销售: 81.87%
    国外销售: 16.92%
    其他(补充): 1.21%",537.37 亿,估值较低,估值中等,估值中等,估值中等,估值较低,36.21,20.88,--,--,--,2021-04-28,0.4601832913644463,268.636802243383,19.7202150784,53.7315796697,2.873563218391,103.0583799965,14.8605147886,22.6323,0.6796957586,18.6201827453,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.794222 预测市盈率:11.634259
2022 | 预测每股收益:4.607444 预测市盈率:10.311647
2023 | 预测每股收益:5.820000 预测市盈率:8.634271"
双汇发展,000895.SZ,食品,农副食品加工业、品牌优势、产业布局、采购及销售网络优势、领先的技术实力和突出的产品研发能力、行业龙头、连锁店、拟吸并双汇集团、拟402亿元吸收合并控股股东双汇集团,"公司简介:
    河南双汇投资发展股份有限公司是中国巨大的肉类加工基地,农业产业化国家重点领先企业,总部在河南省漯河市。双汇在全国18个省(市)建有30多个现代化的肉类加工基地和配套产业,形成了养殖、饲料、屠宰、肉制品加工、新材料包装、冷链物流、连锁商业等完善的产业链,年产销肉类产品300多万吨,拥有近百万个销售终端,全国除新疆、西藏外,双汇的产品都可以做到朝发夕至。双汇品牌价值606.41亿元,连续多年居中国肉类行业领先位置。
    双汇控股母公司—万洲国际(原双汇国际),是全球巨大的猪肉食品企业,总部在香港。万洲国际业务辐射全球20多个国家,拥有中国“双汇”、美国“史密斯菲尔德”等众多备受市场青睐的产品和品牌,双汇牌冷鲜肉、双汇王中王在中国家喻户晓,史密斯菲尔德品牌享誉欧美市场。万洲国际在肉制品、生鲜品和生猪养殖三大领域均排名全球领先,是全球规模巨大、布局最广、产业链最完善、最具竞争力的猪肉企业。
    万洲国际拥有2个上市公司,“双汇发展”(000895)深圳上市,“万洲国际”(00288)香港上市。“双汇发展”在福布斯“2014全球最具创新力企业100强”位列第24位,中国大陆第1位。“万洲国际”股票被列入英国富时指数、香港恒生综合大型股指数、恒生指数成份股。
    双汇集团董事长万隆先生,拥有40多年的肉类行业管理经验。在他的带领下,培育了两个上市公司和一支远见卓识、经验丰富、高度敬业、高度专注的管理团队。万隆先生被授予“漯河市特等功臣”、“中国肉类行业十大功勋企业家”、“美中经贸发展领军人物”、美国《时代》周刊全球“食神”。
汇集团载誉而归
    双汇以品牌价值606.41亿元上榜中国品牌价值500强,2017中国食品企业七星质量奖,2017年度中国食品安全年会“管理创新十佳案例”,2017年度中国食品安全年会“百家诚信示范单位”“中国十佳餐饮食材供应商”等多项荣誉。
主营业务:
    畜禽屠宰、肉类食品及食品加工、包装、销售(国家专项规定的除外)。蛋制品、水产品等农副食品加工,速冻食品、罐头、方便食品的生产销售。
所属概念:
    HS300_,深成500,融资融券,央视50_,证金持股,猪肉概念,深股通,超级品牌,MSCI中国,深证100R,人造肉,富时罗素,标准普尔,鸡肉概念","按行业:
    屠宰业: 65.35%
    肉制品业: 38.04%
    公司内部行业抵减: -10.43%
    其他: 7.04%
按产品:
    生鲜产品: 65.35%
    包装肉制品: 38.04%
    公司内部行业抵减: -10.43%
    其他: 7.04%
按地区:
    长江以北地区: 66.76%
    长江以南地区: 33.24%",1391.41 亿,估值中等,估值中等,估值较高,估值较低,估值中等,32.93,40.16,--,--,--,2021-04-28,0.40726356921320617,15.041553925964,22.5141159708,30.4610385308,4.183266932271,13.1400968289,13.4938160409,24.3553,13.2524500299,0.8880374017,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.057273 预测市盈率:19.640108
2022 | 预测每股收益:2.327273 预测市盈率:17.366668
2023 | 预测每股收益:2.545333 预测市盈率:15.777774"
龙大肉食,002726.SZ,食品,"肉类行业、全产业链优势、生猪养殖技术优势、IT销售优势、拟收购潍坊振祥食品有限公司70%股权、控股股东拟转让9.9988%股份,引入战投蓝润投资、控股股东及实控人将发生变更","公司简介:
    山东龙大肉食品股份有限公司成立于2003年7月,是专业从事肉食品加工的大型企业。秉承“源于自然,传递新鲜”的企业理念,公司构建起集种猪繁育、饲料生产、生猪养殖、屠宰分割、熟食加工为一体的完整的肉食品产业链。公司产品主要包括优质鲜冻分割猪肉、低温肉制品、散装酱卤食品等三大类400余个品种。
主营业务:
    从事生猪养殖,生猪屠宰,冷鲜肉、冷冻肉、熟食制品(中式卤肉制品、低温肉制品)的生产加工及销售。
所属概念:
    转债标的,融资融券,猪肉概念,网红直播,深股通,冷链物流,富时罗素,标准普尔,社区团购","按行业:
    屠宰行业: 69.65%
    进口贸易: 23.10%
    肉制品行业: 4.76%
    其他: 2.48%
按产品:
    鲜冻肉: 69.65%
    进口贸易: 23.10%
    高低温肉制品: 2.45%
    其他: 4.80%
按地区:
    华东其他地区: 40.07%
    山东省内: 33.41%
    华中地区: 9.94%
    其他: 16.58%",119.00 亿,估值较低,估值中等,估值较低,估值较低,估值较低,32.55,11.9,--,--,--,2021-04-29,0.4938974188406555,276.058223415134,43.2714300847,56.7863256989,1.52901447711,68.8629635088,54.2064558572,29.4096,27.8499754725,10.3027761543,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.163333 预测市盈率:10.275769
2022 | 预测每股收益:1.436667 预测市盈率:8.298530
2023 | 预测每股收益:1.720000 预测市盈率:6.930827"
天康生物,002100.SZ,畜牧业,饲料行业、综合优势、发展兽药行业、股东中新建招商拟协议转让股份、获得新兽药注册证书,"公司简介:
    天康生物股份有限公司是一家集兽用生物制品与动物疫病防治、现代生猪科学育种与养殖、饲料研发与生产、生猪屠宰加工配售为一体的农牧类上市公司,2006年12月26日,天康生物在深交所成功上市,公司将坚定地依据自身的专业能力和核心竞争力,紧紧围绕畜牧养殖的关键环节,包括:饲料、饲养、动保、良种繁育(主要指生猪)以及养殖服务体系和金融服务体系建设,为养殖户提供全面解决方案,提升养殖效率。
主营业务:
    动物疫苗、饲料及饲用植物蛋白的生产及销售,种猪繁育、生猪养殖、屠宰加工及肉制品销售,融资担保业务
所属概念:
    转债标的,生物疫苗,深成500,预盈预增,融资融券,病毒防治,证金持股,猪肉概念,深股通,富时罗素,标准普尔,鸡肉概念,转基因","按行业:
    饲料行业: 35.17%
    食品养殖行业: 29.00%
    玉米收储行业: 16.42%
    其他: 19.41%
按产品:
    饲料收入: 35.17%
    生猪养殖: 20.36%
    玉米代储收入: 16.42%
    其他: 28.05%
按地区:
    新疆区内: 60.55%
    新疆区外: 39.45%",112.38 亿,估值较低,估值较低,估值较低,估值较低,估值较低,31.86,10.45,--,--,--,2021-04-29,0.4808419608336435,166.943356109612,60.3304129427,56.3382329566,4.401913875598,61.6688284706,37.3114413634,18.8292,20.8021891991,13.4680358213,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.943333 预测市盈率:5.407076
2022 | 预测每股收益:1.536667 预测市盈率:6.868220
2023 | 预测每股收益:2.260000 预测市盈率:4.631526"
大立科技,002214.SZ,电子设备制造,红外热像仪行业、专业化研发优势、品牌优势、军品资质优势、发展数字硬盘录像机行业、签订1.28亿元军品供货合同,"公司简介:
    浙江大立科技股份有限公司是于1984年成立的浙江省测试技术研究所改制而成的股份制高新技术企业,公司股票于2008年2月18日在深圳证券交易所挂牌上市。公司专业从事非制冷焦平面探测器、红外热像仪、红外热成像系统的研发、生产和销售。
    公司座落于美丽的中国杭州,拥有功能齐全、设备完善的产业化基地以及技术研发中心,公司的技术人员占员工总数35%以上,从根本上保证了技术的国内领先、国际先进水平以及持续创新的能力。同时,公司采用国际化的现代管理模式,取得了ISO9001质量管理体系、ISO14000环境管理体系及ISO18000职业健康安全管理体系认证,从根本上保证了公司的健康发展。
    公司先后有多个红外热像仪产品获“国家级重点新产品”,一项红外热成像技术获“浙江省科学技术进步二等奖”,一项图像软件被列为“浙江省十大推荐优秀软件产品”,制冷型红外热像仪的开发被列入“国家863计划项目”。同时公司多年连续被评为“全球安防五十强”等荣誉称号。
主营业务:
    研发、生产、销售红外热成像系列产品和数字硬盘录像机等安防监控产品。
所属概念:
    军工,机构重仓,物联网,长江三角,融资融券,智能机器,国家安防,人工智能,无人驾驶,壳资源,国产芯片,深股通,军民融合,富时罗素,传感器","按行业:
    计算机、通信和其他电子设备制造业: 99.67%
    其他(补充): 0.33%
按产品:
    红外及光电类产品: 97.47%
    其他: 2.53%
按地区:
    境内: 73.85%
    境外: 26.15%",114.88 亿,估值较低,估值较高,估值中等,估值中等,估值中等,30.49,22.98,--,--,--,2021-04-30,0.4902143310925427,187.561395476647,105.520997856,21.7873463334,0.348128807659,134.8025937275,53.4838388415,22.9538,24.9246737513,12.6182163409,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.042500 预测市盈率:23.553650
2022 | 预测每股收益:1.297500 预测市盈率:18.910770
2023 | 预测每股收益:1.530000 预测市盈率:15.056740"
立讯精密,002475.SZ,电子设备制造,技术创新和工艺制程优势、稳定的客户资源优势、精良的管理团队优势、电脑连接器龙头、汽车连接器--新的利润增长点、注重产品研发与技术创新、国内领先的精密制造工艺、拟向景旺电子转让珠海双赢51%股权,"公司简介:
    立讯精密工业股份有限公司(以下简称“立讯精密”),成立于2004年5月24日,于2010年9月15日在深圳证券交易所成功挂牌上市(股票代码:002475),自上市以来,营业收入年复合增长率达50%。立讯精密始终坚持以技术导向为核心,集产品研发和应用服务于一体,并逐步实现从传统制造向智能制造跨越。
    公司始终专注于主业,深耕细作、锐意进取,不断通过纵向的垂直整合与横向的业务拓展占领市场先机,不断追求智能化研发设计、数字化运营管理、精细化成本控制、自动化生产制造的极致。我们通过实践智能生产的顶层设计理念,从零件到配件,从模组到智能成品,提供消费电子产品全方位的设计制造整合服务;坚持突破从低速到高速、从有线到无线、从铜到光的技术性变革,并形成可持续发展的智能互联解决方案。
    未来,我们将实现从设备与设备的智能交互到设备与人的智能交互,并通过行业布局,依托体系化市场战略和全面的技术支撑网络,以及专业、年轻并富有激情的执行团队,快速实现“机、电、声、光”全方位发展,在成为“中国制造2025”强国战略的行业领导者的同时,并立志成为世界同行业的开拓者。
主营业务:
    生产经营连接线、连接器、声学、无线充电、马达及天线等零组件、模组与配件类产品,产品广泛应用于电脑及周边、消费电子、通讯、汽车及医疗等领域。
所属概念:
    HS300_,转债标的,深圳特区,深成500,融资融券,智能穿戴,苹果概念,智能家居,5G概念,证金持股,无线充电,深股通,MSCI中国,深证100R,华为概念,富时罗素,标准普尔,无线耳机,3D摄像头","按行业:
    消费性电子: 88.45%
    电脑互联产品及精密组件: 3.81%
    汽车互联产品及精密组件: 3.07%
    其他: 4.67%
按产品:
    消费性电子: 88.45%
    电脑互联产品及精密组件: 3.81%
    汽车互联产品及精密组件: 3.07%
    其他: 4.67%
按地区:
    外销: 91.94%
    内销: 8.06%",2630.55 亿,估值较低,估值较高,估值较低,估值较低,估值较低,30.29,37.39,--,--,--,2021-04-28,0.4535742964944686,53.282513207146,47.9633913492,55.8557572811,0.294196309174,62.2847329589,59.4307091102,44.3094,33.3668639214,40.9982123863,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.387815 预测市盈率:27.298091
2022 | 预测每股收益:1.800852 预测市盈率:21.024268
2023 | 预测每股收益:2.198182 预测市盈率:17.030990"
三一重工,600031.SH,专用设备,工程机械行业、行业领先的研发创新能力、高端卓越的精益制造、世界最大混凝土机械制造商、行业前景、军用无人装备、拟8亿元参与设立工业互联网产业基金、拟8亿-10亿元回购股份,"公司简介:
    三一重工股份有限公司由三一集团投资创建于1994年。自成立以来公司取得了持续快速发展。目前,三一是全球装备制造业领先企业之一。2003年7月3日,三一重工在上海A股上市(股票代码:600031)并于2005年6月10日成为股权分置改革成功并实现全流通的企业,被载入中国资本市场史册。2011年7月,三一重工以215.84亿美元的市值,入围FT全球500强。2012年,三一重工并购混凝土机械全球品牌德国普茨迈斯特,改变了行业竞争格局。
主营业务:
    工程机械产品及配件的开发、生产和销售。
所属概念:
    军工,HS300_,参股银行,融资融券,上证50_,上证180_,沪股通,一带一路,证金持股,工业4.0,军民融合,MSCI中国,工业互联,富时罗素,标准普尔","按行业:
    工程机械行业: 97.47%
    其他(补充): 2.53%
按产品:
    挖掘机械: 37.78%
    混凝土机械: 27.23%
    起重机械: 19.54%
    其他: 15.45%
按地区:
    国内: 83.27%
    国际: 14.20%
    其他(补充): 2.53%",2794.18 亿,估值中等,估值较高,估值较高,估值中等,估值中等,29.64,32.93,--,--,--,2021-04-30,0.44589982620516944,36.249072150676,31.2482605103,53.9123517356,1.822046765867,94.6544424038,37.6828171676,28.1171,23.5586548097,15.4828184617,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.241143 预测市盈率:14.654621
2022 | 预测每股收益:2.564286 预测市盈率:12.826656
2023 | 预测每股收益:2.860345 预测市盈率:11.505382"
福莱特,601865.SH,玻璃,特种玻璃制造行业、技术优势、先发优势、客户资源优势、自愿锁定股份、股利分配、稳定股价措施,"公司简介:
    福莱特玻璃集团股份有限公司是一家集玻璃研发、制造、加工和销售为一体的综合性中大型企业,创建于1998年6月,集团本部位于长三角经济中心浙江嘉兴市。集团下属有浙江嘉福玻璃有限公司、浙江福莱特玻璃有限公司、上海福莱特玻璃有限公司、嘉兴福莱特新能源科技有限公司、安徽福莱特光伏材料有限公司、安徽福莱特光伏玻璃有限公司、福莱特(香港)有限公司、福莱特(越南)有限公司、福莱特(香港)投资有限公司等九家全资控股公司。
    福莱特通过近二十年的努力,目前总资产已达人民币约60亿元,并集玻璃研发、制造和深加工于一体的大型玻璃企业集团。并于2015年11月26日在香港联交所主板上市,股票代码:HK.06865。
    福莱特的主要产品涉及太阳能光伏玻璃、优质浮法玻璃、工程玻璃、家居玻璃四大领域,以及太阳能光伏电站的建设和石英岩矿开采,形成了比较完整的产业链。
主营业务:
    光伏玻璃、浮法玻璃、工程玻璃和家居玻璃的研发、生产和销售,以及玻璃用石英矿的开采和销售和EPC光伏电站工程建设
所属概念:
    AH股,股权激励,预盈预增,太阳能,融资融券,中证500,上证380,沪股通,富时罗素,标准普尔","按行业:
暂无数据
按产品:
    光伏玻璃: 83.47%
    工程玻璃: 8.48%
    家居玻璃: 5.22%
    其他: 2.84%
按地区:
    中国: 71.11%
    亚洲其他国家及地区(不包括中国及日本): 21.45%
    北美洲: 4.05%
    其他: 3.39%",576.47 亿,估值较低,估值中等,估值较高,估值较低,估值较低,29,26.86,--,--,--,2021-04-29,0.6769900544950233,127.089309803817,30.2407538348,41.0169543067,0.558451228593,56.3048246957,27.9101219561,238.7355,50.2673048804,61.6672160508,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.188500 预测市盈率:22.514297
2022 | 预测每股收益:1.424211 预测市盈率:18.565147
2023 | 预测每股收益:1.709333 预测市盈率:15.202713"
